x,y
89649.5091,43176.2117
89646.7063,43175.9769
89641.5739,43172.3986
89643.0496,43174.366
89640.7591,43169.9325
89641.9595,43163.2508
89641.0803,43164.93
89643.1937,43161.5376
89652.7415,43156.9719
89649.1205,43158.6549
89655.3875,43156.0205
89662.5105,43156.3568
89667.1722,43161.7026
89667.2341,43165.6394
89671.6148,43166.3055
89675.4283,43159.6614
89673.3494,43162.9882
89674.0935,43152.6992
89672.1663,43151.2759
89676.2679,43154.0152
89665.3352,43150.6776
89667.5324,43150.2179
89663.4154,43151.1176
89657.9082,43149.5466
89656.3941,43148.5535
89659.3241,43150.3921
89654.0865,43145.5133
89651.7781,43125.7834
89653.8787,43129.4623
89652.6234,43126.7927
89623.9906,43168.7676
89621.8027,43170.434
89625.8452,43166.278
89626.609,43165.0964
89628.198,43162.6579
89630.1101,43159.3518
89631.8708,43156.5609
89632.7446,43154.8708
89634.2035,43151.9188
89635.1363,43150.1666
89636.5526,43147.4433
89637.7706,43145.3369
89639.107,43143.3702
89640.0539,43141.7317
89643.5217,43143.4071
89646.0655,43136.6194
89640.4955,43140.964
89641.0041,43147.3997
89639.2145,43150.2198
89637.7965,43152.4543
89636.1482,43155.1608
89633.6975,43159.0956
89632.1731,43161.4962
89630.0059,43164.9127
89628.6271,43166.9955
89627.6712,43168.5019
89626.7475,43169.8657
89625.2216,43171.7142
89623.1116,43172.5858
89621.159,43172.9555
89618.1549,43174.1703
89616.3277,43176.0388
89617.2125,43174.8405
89614.9631,43180.8934
89615.2238,43183.075
89615.8862,43185.0883
89626.8558,43192.8391
89624.7226,43191.9947
89630.0291,43192.8845
89632.6624,43192.2525
89635.7035,43190.2864
89637.6644,43187.7107
89640.7171,43183.8212
89642.6806,43183.6971
89644.5669,43184.2767
89639.7611,43184.5182
89647.858,43186.5845
89651.2097,43188.7436
89657.0868,43192.5939
89658.4252,43193.0886
89661.6473,43192.8586
89662.8409,43192.2026
89664.8473,43189.5674
89667.5855,43185.3017
89669.1966,43182.0251
89668.9775,43179.6604
89667.8359,43177.6633
89665.8224,43175.736
89661.5168,43173.0549
89658.0359,43171.2174
89653.3362,43170.2091
89654.6598,43170.3871
89650.3033,43169.9097
89649.3849,43166.2975
89652.123,43165.2829
89655.0878,43164.2446
89655.9399,43163.8989
89657.8998,43162.9551
89659.3699,43162.8238
89660.2126,43163.6576
89660.4521,43164.5047
89658.6024,43168.7477
89658.6559,43167.5912
89658.9419,43169.5865
89659.7037,43170.1248
89659.0692,43166.5817
89662.4456,43171.978
89665.2192,43173.6729
89667.7605,43174.9379
89668.9721,43175.1022
89672.1248,43174.7032
89673.3198,43174.2896
89675.5438,43172.8683
89676.0763,43172.0263
89681.2179,43164.2844
89680.0287,43165.8671
89682.4867,43163.0481
89683.2816,43162.3216
89684.0255,43158.9619
89684.212,43160.6316
89683.5039,43155.8422
89682.2932,43150.9922
89680.9112,43148.7894
89679.0699,43146.9667
89673.444,43143.4224
89669.7397,43142.8532
89660.6921,43143.5861
89660.0023,43142.8106
89661.7551,43143.9662
89663.1296,43143.8912
89660.442,43126.7651
89654.8228,43118.9633
89651.7867,43117.1286
89657.4947,43120.579
89659.6648,43122.514
89653.6845,43118.346
89655.9215,43119.5709
89652.6039,43117.7103
89660.1988,43123.595
89658.7661,43121.4686
89649.6781,43116.4009
89651.092,43116.6193
89646.905,43116.9241
89641.9709,43118.1512
89636.5698,43119.4091
89640.2995,43118.6342
89644.8733,43117.4979
89638.758,43118.824
89634.7101,43120.1619
89632.1859,43122.15
89631.0758,43123.4905
89629.9659,43125.3204
89628.6648,43127.4672
89627.0138,43130.0758
89625.1193,43132.9462
89623.1689,43135.706
89621.8171,43137.6276
89620.5968,43139.9483
89618.4066,43143.7031
89617.7493,43144.5923
89617.1128,43145.4788
89616.0385,43147.0511
89615.0733,43148.5169
89614.3003,43149.8639
89613.8498,43150.8018
89613.228,43151.8145
89610.1174,43156.728
89609.6751,43157.5681
89659.3509,43140.5404
89659.1388,43137.3481
89659.5928,43133.7704
89660.2186,43130.774
89653.8967,43132.294
89653.7921,43134.1555
89653.6814,43136.1246
89653.5877,43137.7922
89653.504,43139.2814
89653.3844,43141.4091
89651.0104,43125.0192
89653.0692,43127.3652
89653.9083,43130.1375
89653.5785,43128.3257
89648.4018,43124.1967
89646.6225,43124.6077
89641.9357,43125.6526
89639.9908,43126.131
89644.7728,43125.0822
89636.975,43128.0381
89635.7541,43129.9285
89634.486,43131.8999
89633.0198,43134.0843
89631.6166,43136.3632
89629.8394,43139.1876
89627.3175,43143.1404
89625.6871,43145.63
89624.1793,43148.1448
89623.381,43149.4681
89623.0163,43150.0206
89621.9726,43151.5909
89620.6687,43153.6975
89619.4241,43155.5519
89616.8091,43159.7327
89619.5085,43162.1521
89619.9478,43161.3032
89621.4884,43158.7363
89622.8006,43156.6754
89623.8707,43155.088
89625.1528,43153.0821
89626.0428,43151.6947
89627.2611,43149.6704
89628.3364,43147.9277
89629.2543,43146.3973
89630.0419,43145.1763
89631.1995,43143.2716
89631.9628,43141.882
89633.1174,43139.976
89633.8659,43138.6688
89635.0323,43136.5242
89637.0623,43132.928
89639.085,43130.1779
89651.3747,43143.5187
89650.5793,43144.6635
89649.6026,43146.4182
89648.6908,43147.8996
89647.679,43149.5549
89646.6843,43151.294
89645.2429,43153.275
89644.2866,43154.7136
89642.9583,43156.8592
89642.0049,43158.2767
89640.5263,43160.5481
89639.339,43162.3719
89638.1379,43164.1992
89635.8971,43167.5972
89635.0198,43168.5481
89634.5101,43169.209
89633.0479,43171.4551
89633.6947,43170.3634
89632.1886,43173.1443
89632.6604,43172.2698
89629.1185,43176.5069
89627.2854,43176.766
89622.9728,43179.1921
89623.5815,43181.9065
89625.584,43183.2249
89625.0005,43182.8473
89627.3771,43184.4477
89628.2794,43185.1662
89629.2731,43185.4585
89630.4754,43185.2478
89632.1877,43182.9499
89632.9211,43181.4004
89634.0911,43179.534
89636.3359,43177.7929
89638.6964,43177.0918
89641.5741,43176.9475
89642.9469,43177.0022
89645.8257,43177.5679
89647.4289,43178.0001
89649.8766,43178.8669
89651.0111,43179.4431
89652.2678,43180.1871
89654.5443,43181.9093
89655.3275,43182.5667
89656.0033,43183.1727
89657.9012,43184.3307
89658.7756,43184.2819
89660.1525,43181.7532
89657.7105,43179.5059
89656.9676,43179.1782
89655.3219,43178.1274
89652.9351,43176.8122
89650.7344,43176.3329
89645.6129,43175.8347
89643.9452,43174.9976
89640.7049,43166.2885
89640.5702,43168.7164
89642.3959,43162.4319
89641.4382,43164.0589
89657.431,43155.529
89660.8999,43155.7623
89663.9758,43157.1656
89666.6089,43160.1524
89667.4308,43162.5182
89667.5275,43164.1154
89670.6436,43167.6556
89667.7799,43167.3894
89669.7514,43167.946
89671.2798,43166.8853
89667.2704,43166.3764
89667.3854,43164.7681
89667.5768,43163.2919
89671.7525,43165.6491
89671.9593,43165.0588
89672.5099,43164.0952
89673.9186,43162.0332
89674.7447,43160.797
89675.9499,43158.9632
89676.8708,43157.6753
89677.1861,43155.6133
89675.5466,43153.5787
89673.0694,43151.9429
89670.8395,43150.7692
89668.7183,43150.1087
89676.5794,43154.4365
89674.8917,43153.1823
89666.2977,43150.4528
89664.4627,43150.9216
89662.4436,43151.275
89660.4017,43151.0475
89653.566,43144.2369
89654.5099,43146.3878
89650.1732,43124.5215
89647.5372,43124.4318
89656.1584,43130.3585
89656.0934,43128.0003
89655.2395,43125.3944
89654.5555,43123.5309
89653.5978,43122.3042
89652.5706,43121.253
89651.2436,43120.5378
89650.1485,43120.2339
89648.696,43119.8184
89647.0712,43119.9022
89643.2859,43120.2263
89639.9799,43120.9547
89637.45,43121.8572
89636.0737,43122.6667
89634.8146,43123.8825
89634.2576,43124.4439
89633.3733,43125.2577
89632.452,43126.1605
89631.2345,43127.6262
89630.2313,43129.229
89629.2011,43130.8145
89625.4005,43136.0443
89623.5102,43139.0912
89621.7159,43141.862
89619.997,43144.3544
89617.9721,43147.2736
89616.4283,43149.8144
89614.7042,43152.7618
89612.6474,43156.42
89611.9616,43159.1709
89611.928,43161.2703
89612.4512,43163.4458
89613.613,43164.6875
89614.669,43165.5341
89615.8172,43166.3022
89617.2309,43166.8103
89619.7474,43167.289
89622.0305,43166.2208
89623.4671,43165.2031
89625.3198,43163.2838
89627.2057,43160.1354
89629.2516,43155.1256
89630.717,43150.5238
89632.624,43145.5039
89634.8403,43140.9227
89636.1587,43138.4926
89637.527,43136.2847
89641.3259,43132.9504
89644.2324,43131.4695
89646.8828,43132.1112
89648.7491,43134.0531
89649.4849,43136.0573
89649.5887,43137.7205
89649.4814,43139.6872
89649.1383,43141.8086
89648.2649,43144.1944
89647.336,43146.3176
89645.9106,43148.4865
89643.6026,43151.3128
89640.7677,43154.5142
89639.0925,43156.4782
89637.8542,43158.0291
89636.6626,43159.4082
89635.6337,43160.5651
89634.6086,43161.8574
89633.9014,43162.8745
89633.1206,43163.9206
89632.0081,43165.3223
89630.7563,43166.9336
89629.3672,43168.8433
89626.2825,43172.8182
89624.312,43174.5348
89622.9619,43175.5601
89621.4005,43176.868
89619.9855,43178.402
89619.0319,43180.1335
89618.856,43181.804
89619.0479,43183.3285
89620.1855,43185.7375
89622.6341,43188.1497
89625.4973,43189.2019
89627.542,43189.9364
89629.3326,43189.7613
89630.6728,43189.5249
89631.8387,43189.0362
89632.8257,43188.4141
89633.8139,43187.5694
89634.8986,43186.22
89636.3583,43184.4924
89637.6837,43183.3894
89638.8785,43182.5892
89639.9825,43182.2228
89640.948,43181.914
89641.9571,43181.6955
89643.0636,43181.6347
89644.1869,43181.6629
89645.1805,43181.7326
89646.589,43182.0216
89648.1113,43182.8107
89649.9731,43184.2981
89651.1324,43185.6572
89652.2144,43186.8867
89653.406,43188.08
89654.81,43188.9171
89655.3939,43189.1283
89656.7915,43189.4442
89658.0493,43189.5372
89659.4201,43189.5359
89660.3398,43189.0243
89661.0618,43188.7526
89662.059,43187.8973
89663.0294,43186.9472
89663.649,43186.2807
89664.2396,43185.4794
89664.9919,43183.7722
89665.159,43182.222
89664.8345,43180.8904
89664.3914,43179.5616
89663.5317,43178.0462
89661.9851,43176.4356
89660.203,43175.4878
89658.0712,43174.8865
89655.8296,43174.5555
89652.9354,43174.8722
89649.8291,43174.663
89647.0527,43173.528
89644.601,43171.1793
89643.3998,43168.1522
89643.9264,43165.4886
89645.6312,43163.4796
89647.2825,43162.2131
89649.016,43161.4086
89650.3714,43160.9364
89651.0839,43160.6898
89653.2254,43159.7255
89654.9304,43159.2888
89656.2534,43159.1268
89657.4514,43159.4411
89658.6164,43160.0194
89660.0129,43161.0124
89661.3392,43162.3304
89662.498,43163.9528
89663.4738,43165.7579
89664.3027,43166.9932
89665.3709,43168.5319
89666.7233,43169.8141
89668.3952,43170.4208
89670.096,43170.5499
89670.791,43170.3662
89671.4687,43170.1578
89672.4872,43169.7913
89673.4513,43169.2778
89674.3159,43168.7622
89675.1603,43168.1591
89675.9102,43167.4779
89676.9322,43166.4102
89678.1432,43164.8822
89678.8136,43163.892
89679.2794,43162.9639
89679.7462,43161.7766
89680.0246,43160.7938
89680.2776,43159.8049
89680.4478,43158.8596
89680.4366,43157.7372
89680.4064,43156.4227
89680.1874,43155.1405
89679.6942,43153.1875
89677.9643,43150.9065
89675.2772,43148.698
89672.6366,43147.6586
89669.4416,43147.1558
89666.854,43147.1531
89664.9427,43147.0111
89663.0136,43146.6852
89662.0562,43146.4493
89659.6254,43145.7919
89657.8106,43144.2214
89656.5531,43141.2814
89656.1918,43137.7588
89656.2495,43135.0173
89656.1912,43133.4523
89656.1806,43131.8542
89621.2873,43189.8181
89625.5691,43183.2153
89652.8833,43164.9766
89650.1544,43158.1744
